key,cp,ville,lat,lon
56470_LA TRINITE-SUR-MER,56470,LA TRINITE-SUR-MER,47.589229,-3.038799
56250_TREFFLEAN,56250,TREFFLEAN,47.680911,-2.62049
56910_SAINT-NICOLAS-DU-TERTRE,56910,SAINT-NICOLAS-DU-TERTRE,47.79604,-2.216605
56200_COURNON -,56200,COURNON -,47.750561,-2.097406
56540_SAINT-TUGDUAL,56540,SAINT-TUGDUAL,48.098224,-3.373665
56600_LANESTER -,56600,LANESTER -,47.768777,-3.330862
56220_SAINT-GRAVE,56220,SAINT-GRAVE,47.721226,-2.298723
56850_CAUDAN,56850,CAUDAN,47.81142,-3.343143
56500_PLUMELIN -,56500,PLUMELIN -,47.871937,-2.890121
56130_NIVILLAC -,56130,NIVILLAC -,47.535577,-2.251333
56250_SULNIAC,56250,SULNIAC,47.659952,-2.557065
56390_GRAND-CHAMP,56390,GRAND-CHAMP,47.753028,-2.848749
56390_GRAND-CHAMP -,56390,GRAND-CHAMP -,47.753028,-2.848749
56270_PLOEMEUR -,56270,PLOEMEUR -,47.728773,-3.445603
56420_PLAUDREN,56420,PLAUDREN,47.783016,-2.693873
56240_PLOUAY,56240,PLOUAY,47.932232,-3.340242
56190_LE GUERNO -,56190,LE GUERNO -,47.5864,-2.405093
56390_COLPO,56390,COLPO,47.816505,-2.813306
56200_LA GACILLY,56200,LA GACILLY,47.762666,-2.131961
56270_PLOEMEUR,56270,PLOEMEUR,47.728773,-3.445603
56920_NOYAL-PONTIVY -,56920,NOYAL-PONTIVY -,48.053581,-2.887464
56530_QUEVEN -,56530,QUEVEN -,47.788456,-3.41623
56910_CARENTOIR -,56910,CARENTOIR -,47.818772,-2.12145
56480_SILFIAC,56480,SILFIAC,48.143457,-3.170095
56350_ALLAIRE -,56350,ALLAIRE -,47.633466,-2.183297
56190_AMBON -,56190,AMBON -,47.562581,-2.539591
56520_GUIDEL -,56520,GUIDEL -,47.790921,-3.488034
56700_HENNEBONT -,56700,HENNEBONT -,47.807325,-3.27075
56320_MESLAN -,56320,MESLAN -,47.988642,-3.452173
56170_QUIBERON -,56170,QUIBERON -,47.486711,-3.120228
56500_BIGNAN,56500,BIGNAN,47.876964,-2.753551
56800_CAMPENEAC,56800,CAMPENEAC,47.955571,-2.299558
56740_LOCMARIAQUER -,56740,LOCMARIAQUER -,47.580731,-2.958523
57360_AMNEVILLE,57360,AMNEVILLE,49.244708,6.123114
57710_AUMETZ,57710,AUMETZ,,
57800_FREYMING-MERLEBACH,57800,FREYMING-MERLEBACH,49.151577,6.802633
57700_HAYANGE,57700,HAYANGE,49.333471,6.068399
57000_METZ,57000,METZ,49.108385,6.194891
57540_PETITE-ROSSELLE,57540,PETITE-ROSSELLE,49.20715,6.858435
57430_SARRALBE,57430,SARRALBE,48.992751,7.024748
57570_CATTENOM,57570,CATTENOM,49.406377,6.238493
57260_DIEUZE,57260,DIEUZE,48.811468,6.720321
57300_HAGONDANGE,57300,HAGONDANGE,49.248393,6.160283
57740_LONGEVILLE-LES-SAINT-AVOLD,57740,LONGEVILLE-LES-SAINT-AVOLD,49.115513,6.657237
57370_PHALSBOURG,57370,PHALSBOURG,48.765612,7.2622
57410_ROHRBACH-LES-BITCHE,57410,ROHRBACH-LES-BITCHE,49.047382,7.275199
57500_SAINT-AVOLD,57500,SAINT-AVOLD,49.127523,6.719764
57118_SAINTE-MARIE-AUX-CHENES,57118,SAINTE-MARIE-AUX-CHENES,47.356476,0.934565
57560_SAINT-QUIRIN,57560,SAINT-QUIRIN,48.615402,7.073149
57200_SARREGUEMINES,57200,SARREGUEMINES,49.110922,7.07705
57180_TERVILLE,57180,TERVILLE,49.347648,6.13459
57230_BITCHE,57230,BITCHE,49.047606,7.444178
57670_MUNSTER,57670,MUNSTER,48.915051,6.905733
57570_RODEMACK,57570,RODEMACK,49.468982,6.246867
57400_SARREBOURG,57400,SARREBOURG,48.736347,7.053883
57600_FOLKLING,57600,FOLKLING,49.152455,6.902997
57210_SEMECOURT,57210,SEMECOURT,49.193945,6.133078
57480_HAUTE-KONTZ,57480,HAUTE-KONTZ,49.449203,6.319928
57800_FREYMING-MERLEBACH -,57800,FREYMING-MERLEBACH -,49.151577,6.802633
57930_MITTERSHEIM -,57930,MITTERSHEIM -,48.857241,6.940401
57100_THIONVILLE -,57100,THIONVILLE -,49.370681,6.150548
57290_FAMECK,57290,FAMECK,49.299164,6.103328
57630_MARSAL,57630,MARSAL,48.788665,6.605916
57100_THIONVILLE,57100,THIONVILLE,49.370681,6.150548
57000_METZ -,57000,METZ -,49.108385,6.194891
57530_BAZONCOURT,57530,BAZONCOURT,49.052485,6.370177
57660_MAXSTADT,57660,MAXSTADT,49.043028,6.791674
57220_BOULAY-MOSELLE,57220,BOULAY-MOSELLE,49.17479,6.494882
57670_LHOR,57670,LHOR,48.88868,6.870921
57580_HERNY,57580,HERNY,48.999162,6.479937
57310_RURANGE-LES-THIONVILLE,57310,RURANGE-LES-THIONVILLE,49.273221,6.225939
57580_AUBE,57580,AUBE,49.02748,6.338545
57480_SIERCK-LES-BAINS,57480,SIERCK-LES-BAINS,49.434316,6.35897
57350_STIRING-WENDEL -,57350,STIRING-WENDEL -,49.200616,6.932486
57530_VILLERS-STONCOURT,57530,VILLERS-STONCOURT,49.055954,6.429497
57330_HETTANGE-GRANDE,57330,HETTANGE-GRANDE,49.406857,6.151718
57310_BOUSSE,57310,BOUSSE,49.276597,6.200563
57960_MEISENTHAL -,57960,MEISENTHAL -,48.968015,7.352525
57200_WOELFLING-LES-SARREGUEMINES,57200,WOELFLING-LES-SARREGUEMINES,49.089448,7.176463
57360_AMNEVILLE -,57360,AMNEVILLE -,49.244708,6.123114
57190_FLORANGE -,57190,FLORANGE -,49.320972,6.128261
57960_MEISENTHAL,57960,MEISENTHAL,48.968015,7.352525
57240_NILVANGE -,57240,NILVANGE -,49.34288,6.048597
57050_LE BAN-SAINT-MARTIN,57050,LE BAN-SAINT-MARTIN,49.123687,6.143731
57180_TERVILLE -,57180,TERVILLE -,49.347648,6.13459
57150_CREUTZWALD -,57150,CREUTZWALD -,49.209495,6.690135
57175_GANDRANGE,57175,GANDRANGE,49.272674,6.13274
57155_MARLY -,57155,MARLY -,49.072517,6.153746
57850_DABO,57850,DABO,48.658948,7.236376
57500_SAINT-AVOLD -,57500,SAINT-AVOLD -,49.127523,6.719764
57520_GROSBLIEDERSTROFF,57520,GROSBLIEDERSTROFF,49.150997,7.027215
57130_JOUY-AUX-ARCHES -,57130,JOUY-AUX-ARCHES -,49.067321,6.084689
57810_RHODES -,57810,RHODES -,48.753175,6.907119
57270_RICHEMONT -,57270,RICHEMONT -,49.285028,6.166885
57880_GUERTING,57880,GUERTING,49.18837,6.623741
57320_BOUZONVILLE,57320,BOUZONVILLE,49.295281,6.542711
57600_FORBACH,57600,FORBACH,49.190789,6.893798
57160_SCY-CHAZELLES,57160,SCY-CHAZELLES,49.113622,6.116618
57710_TRESSANGE -,57710,TRESSANGE -,49.405855,5.984678
